1,https://www.reuters.com/article/us-usa-weather-texas-puc/texas-ag-says-retroactive-power-price-cut-okay-regulator-ousted-idUSKBN2B90EC,2021-03-17T23:30:36Z,Texas AG says retroactive power-price cut okay; regulator ousted,"HOUSTON (Reuters) - The Texas attorney general on Wednesday said state law allows the utilities regulator to cut billions of dollars from storm-inflated electric bills, an endorsement that came hours after the ouster of the regulator who opposed retroactive cuts.","The drive to reverse $4.1 billion in emergency prices gained momentum after a magazine published inflammatory comments by Public Utility Commission Chair Arthur D’Andrea. In a March 9 call with Bank of America analysts and investors, he said he “tipped the scale” to protect utility profits. He also minimized the financial pain caused by storm pricing to municipal power companies.","Since Texans began complaining about inflated electric bills after the storm, D’Andrea has argued against repricing. As recently as Tuesday, he told legislators he had no authority to order a change. The remarks swayed lawmakers against a plan endorsed by 27 senators to reduce emergency charges in the final 32 hours of a deadly February blackout.","D’Andrea resigned Tuesday after the disclosure of the inflammatory comments by the Texas Monthly magazine. The call, during which he boasted of his job security, took place two days before he was to consider rescinding billions of dollars of payment to utilities.","Governor Greg Abbott said he planned to replace D'Andrea in coming days. The commission can ""correct prices"" for power and services, state Attorney General Ken Paxton said in an opinion bit.ly/3bTyxw0 on Wednesday. A retroactive move covering a certain period would likely be upheld in court, he wrote.",The regulator and state grid operator raised power prices to about 400 times the normal rate over five days. They left the pricing in place in the final 32 hours after the grid emergency passed.,"The state’s independent market monitor testified grid operator ERCOT, which is overseen by the PUC, erred by keeping prices high during the period after outages ended.","On the March 9 call, D’Andrea told investors and analysts he had “tipped the scale as hard as I could” to prevent repricing and would keep “the weight of the commission” against it, according to the recording published on the magazine’s website.",During the call he downplayed problems faced by municipal utilities.,"“They’ve got a lot of money. They’re fine,” he said, referring to San Antonio’s city-run CPS Energy that has contested $200 million in power charges.",A CPS Energy spokesman did not comment on the report.,"High costs from the storm have led four Texas power companies to file for bankruptcy protection. Electricity firms have failed to pay $3 billion in storm-related charges, amounts that eventually would be passed to all Texas utilities and customers.","Texas utility NRG Energy Inc on Wednesday withdrew its earnings outlook for the year, projecting a $750 million loss from the storm and the prospect of a retroactive repricing. Shares fell nearly 17% to $36.18.",The deadly February storm killed more than 56 people in Texas. The blackout could saddle power companies with bills for decades.,"“I asked for and accepted the resignation of PUC Commissioner Arthur D’Andrea,” the governor said in a statement. Residents “deserve to have trust and confidence” in the regulator, Abbott added on Wednesday.","“It appears prices were manipulated for profit and now profits are being protected,” said Texas Lieutenant Governor Dan Patrick. He called on lawmakers to “move as quickly as possible” to approve pricing legislation and deliver it to governor. “The clock is ticking,” he said on Twitter.","PUC spokesman Andrew Barlow declined to comment on the recording, saying he had not heard it.","In his call, D’Andrea also claimed he had job protection after two of the three PUC commissioners resigned. Lawmakers could “secure promises from me” that they could not get if there were other commissioners, he said.","“I expect it to be this way for a while, at least a year, with just me,” he said of the commission’s makeup.","Earlier in March, Shelly Botkin resigned from her post at the PUC, a week after former Chairman DeAnn Walker resigned.","Electricity retailer Brilliant Energy LLC on Tuesday became the fourth company to file for bankruptcy protection since the storm, a day after Griddy Energy filed for Chapter 11 bankruptcy."
2,https://www.reuters.com/article/lawyer-deals-energy/deal-doldrums-not-this-week-as-latham-cravath-others-advise-on-nrgs-3-6b-direct-energy-buy-idUSL2N2EV23Q,2020-07-24T23:12:19Z,"Deal doldrums? Not this week as Latham, Cravath, others advise on NRG's $3.6b Direct Energy buy","Latham & Watkins and Baker Botts advised U.S. integrated power company NRG Energy on its $3.63 billion bid to buy Centrica Plc’s North American subsidiary Direct Energy, the firms said on Friday, capping a week of multibillion-dollar deal announcements reminiscent of pre-pandemic days.","U.K. law firm Slaughter and May teamed up with Cravath, Swaine & Moore to advise Centrica, which owns British Gas. Slaughter and May’s team was led by London corporate partners Hywel Davies and Robert Innes and Cravath’s by New York corporate partners Erik Tavzel and Andrew Elken, those firms said.","To read the full story on Westlaw Today, click here: bit.ly/32RxU1T"
3,https://www.reuters.com/article/us-centrica-results/centrica-to-sell-north-american-energy-business-for-3-63-billion-idUSKCN24P0SY,2020-07-24T22:08:30Z,Centrica to sell North American energy business for $3.63 billion,"LONDON/NEW YORK (Reuters) - Centrica Plc CNA.L on Friday said it was selling its North American subsidiary Direct Energy for $3.63 billion to U.S. integrated power firm NRG Energy NRG.N, clearing the way for the new head of the British Gas owner to focus on its home markets.","The transaction was announced along with Centrica’s half-year earnings, where the group reported a profit slump due to the COVID-19 impact and low commodity prices.","Both sets of shareholders welcomed the deal. Centrica’s shares ended 16.7% higher, having surged almost 40% early on Friday, and NRG closed up 2.9%.","Centrica plans to use the cash from the sale to reduce net debt and contribute to its pension schemes, with its operations subsequently centred on the U.K. and Ireland.","“We had a number of expressions of interest in Direct Energy but it came down to the right price and the right buyer,” Centrica Group Chief Executive Chris O’Shea told reporters on a conference call. O’Shea took over permanently as CEO in April.","The transaction comes at a time of flux for power providers on both sides of the Atlantic, as companies shape their businesses to best cope with changed energy demands amid the coronavirus pandemic, such as greater working from home.","For NRG, the transaction doubles the number of retail customers it serves to 6 million people, and strengthens its operations in the eastern United States, Chief Executive Mauricio Gutierrez told Reuters in an interview.","“It’s really exciting for NRG as we have national reach,” said Gutierrez. Until now, NRG’s business was primarily focused on Texas.",The sale of Direct Energy is part of a wider restructuring effort at Centrica which has gained additional significance amid the challenges of the pandemic.,"Last month, Centrica said it planned to cut around 5,000 jobs, almost 20% of its global workforce.",The group reported a 14% drop in half-year operating profit to 343 million pounds ($436.3 million) from 399 million a year earlier. This was due to the pandemic which reduced energy use and weakened commodity prices.,"The net impact on pre-tax profit from the pandemic was around 60 million pounds as the company took mitigating measures such as not paying senior management bonuses, cost savings and using government job retention schemes.",Centrica gave no full-year financial guidance due to the possibility of customers delaying or deferring payments because of an uncertain economic outlook and its implications for unemployment.,It did not declare an interim dividend.,Centrica said it remains committed to exiting exit oil and gas production and nuclear power generation but has paused planned divestment of its 20% stake in Britain’s nuclear energy fleet and the planned sale of its 69% shareholding in North Sea oil and gas producer Spirit Energy.,It plans to restart the Spirit Energy process when commodity and financial markets have settled and is considering options for the sale of its nuclear stake.
4,https://www.reuters.com/article/centrica-results/centrica-first-half-profit-drops-to-sell-north-american-business-to-nrg-energy-idUSL3N2ET16U,2020-07-24T06:41:30Z,Centrica first-half profit drops; to sell North American business to NRG Energy,July 24 (Reuters) - British Gas owner Centrica Plc posted lower first-half earnings on Friday partly due to the coronavirus crisis and said it would sell its North American business Direct Energy to NRG Energy for $3.63 billion in cash.,"Centrica, Britain’s largest energy supplier, said it would focus on its core home markets, the UK and Ireland, following the sale which its board believes is in the best interests of the company and its shareholders. (Reporting by Shanima A in Bengaluru; Editing by Rashmi Aich)"
5,https://www.reuters.com/article/usa-environment-lawsuit/penn-federal-judge-denies-bid-to-toss-power-plant-river-temperature-lawsuit-idUSL1N2CI0O1,2020-04-30T12:50:19Z,Penn. federal judge denies bid to toss power plant river temperature lawsuit,"A federal judge in Pittsburgh on Wednesday rejected an NRG Energy Inc subsidiary’s claim to toss a lawsuit accusing it of illegally discharging overheated wastewater into the Allegheny River. The Springdale, Pennsylvania power plant said it abided by its permit, with no evidence pointing to its responsibility in a rise in river temperature.","U.S. District Court Judge William Stickman denied the company’s motion for judgment on the pleadings, saying that “material facts” were required to determine whether power generator GenOn Power Midwest LP had, with the water discharges from its Cheswick Generating Station, violated its pollution permit by allegedly increasing the Allegheny’s temperatures in excess of limits set to protect aquatic life.","To read the full story on Westlaw Practitioner Insights, click here: bit.ly/2KLlu1r"
6,https://www.reuters.com/article/brief-nrg-energy-says-ceos-2019-total-co/brief-nrg-energy-says-ceos-2019-total-compensation-was-9-1-million-idUSFWN2B91Y3,2020-03-16T21:30:49Z,BRIEF-NRG Energy Says CEO's 2019 Total Compensation Was $9.1 Million,March 16 (Reuters) - NRG Energy Inc:,* NRG ENERGY INC SAYS CEO MAURICIO GUTIERREZ’S FY 2019 TOTAL COMPENSATION WAS $9.1 MILLION VERSUS $8.9 MILLION IN FY 2018 - SEC FILING,"* NRG ENERGY INC SAYS FOR 2019, CEO PAY RATIO IS 80:1 Source text: (bit.ly/3a7QJP6) Further company coverage:"
7,https://www.reuters.com/article/us-usa-russia-sanctions-en/ex-nrg-ceo-david-crane-to-exercise-voting-rights-for-vtbs-stake-in-en-source-idUSKCN1PM1FM,2019-01-28T13:58:59Z,Ex-NRG CEO David Crane to exercise voting rights for VTB's stake in EN+: source,"LONDON (Reuters) - David Crane, former chief executive of U.S power company NRG Energy, will exercise the voting rights for Russian bank VTB’s stake in EN+, as part of the agreement for the United States to waive sanctions against the company previously controlled by Oleg Deripaska, a source close to the matter said.","Russian tycoon Deripaska has agreed to reduce his stake in London-listed En+ to 44.95 percent from 70 percent and assign any voting rights above 35 percent to a voting trust formed by U.S. independent trustees D. J. Baker, David Crane, Arthur Dodge and Jersey-based Ogier Global Nominee Limited.","VTB Bank, Russia’s second-largest lender, lifted its stake in EN+ to 22.27 percent from 7.65 percent, as part of the deal, but will now have votes representing 6.25 percent that will be controlled by Crane."
8,https://www.reuters.com/article/us-nrg-energy-power-ceo/nrg-sheds-u-s-power-plants-to-focus-on-retail-customers-idUSKCN1J21FA,2018-06-06T12:08:31Z,NRG sheds U.S. power plants to focus on retail customers,"(Reuters) - U.S. power company NRG Energy Inc NRG.N wants to boost the size of its retail business as it sheds more than half of its power plants, Chief Executive Mauricio Gutierrez told Reuters.","“NRG started as a generation company that moved into retail and some people still think of NRG in terms of (power plants),” Gutierrez said.","“But when you think about NRG in the future, I invite you to think about the company in terms of the number of customers we serve,” he said. NRG serves around three million homes and businesses.","In the past, NRG racked up billions of dollars of debt by diving into the renewable energy business at the same time U.S. power prices sank as cheap and abundant natural gas from shale formations flooded the market.","Concern about those debts, among other things, led NRG to replace its former CEO David Crane in 2015 and to ultimately agree to sell most of its renewable portfolio, held by its stake in NRG Yield Inc NYLDa.N, to Global Infrastructure Partners in February.","That deal, along with the sale of some coal and gas plants in Louisiana and Texas and other assets will provide the company with about $3 billion in proceeds and remove around $7 billion in debt, NRG said.","In addition to the asset sales, NRG’s GenOn unit is working through bankruptcy proceedings that will see the unit separated from NRG, taking with it much of the company’s coal-fired plants.",Gutierrez said he expects the sale of NRG Yield and separation of GenOn to occur in the fourth quarter.,"Those transactions will cut NRG’s generation portfolio from over 50,000 megawatts in 2015, before Gutierrez started transforming the company, to around 24,000 MW. One megawatt can power about 1,000 homes.","“When I became CEO, it was clear we were trying to be too many things to too many people,” Gutierrez said in a letter to shareholders on Wednesday.","He wants to grow the retail business, especially in the Northeast where NRG still has more generation than it needs to serve customers.","Gutierrez said he wants to increase the size of the retail business through organic growth, but will consider acquisitions if the right opportunity presents itself, like its purchase of retail provider Xoom Energy earlier this year.","“Our retail business is going to inform the size of our generation business,” Gutierrez said.","NRG shares are up about 18 percent so far this year, after surging 132 percent last year."
9,https://www.reuters.com/article/brief-nrg-energy-prices-offering-of-500/brief-nrg-energy-prices-offering-of-500-million-convertible-senior-notes-idUSASC0A35L,2018-05-22T02:47:22Z,BRIEF-NRG Energy Prices Offering Of $500 Million Convertible Senior Notes,May 21 (Reuters) - NRG Energy Inc:,"* NRG ENERGY, INC. PRICES OFFERING OF $500 MILLION CONVERTIBLE SENIOR NOTES",* HAS PRICED ITS OFFERING OF $500 MILLION IN AGGREGATE PRINCIPAL AMOUNT OF ITS 2.75% CONVERTIBLE SENIOR NOTES DUE 2048 Source text for Eikon: Further company coverage:
10,https://www.reuters.com/article/brief-nrg-energy-announces-proposed-offe/brief-nrg-energy-announces-proposed-offering-of-500-mln-convertible-senior-notes-idUSASC0A2ZP,2018-05-21T10:38:15Z,BRIEF-NRG Energy Announces Proposed Offering Of $500 Mln Convertible Senior Notes,May 21 (Reuters) - NRG Energy Inc:,"* NRG ENERGY, INC. ANNOUNCES PROPOSED OFFERING OF $500 MILLION CONVERTIBLE SENIOR NOTES",* NRG ENERGY - INTENDS TO COMMENCE OFFERING OF $500 MILLION OF CONVERTIBLE SENIOR NOTES DUE 2048,* NRG ENERGY INC - NOTES OFFERING IS EXPECTED TO BE LEVERAGE NEUTRAL,* NRG ENERGY INC - INTENDS TO USE CASH ON HAND TO REPURCHASE SHARES TO COMPLETE NRG’S $500 MILLION SHARE REPURCHASE PROGRAM,* NRG ENERGY INC - INTENDS TO ENTER INTO ACCELERATED SHARE REPURCHASE TRANSACTIONS WITH ONE OR MORE FINANCIAL INSTITUTIONS Source text for Eikon: Further company coverage:
11,https://www.reuters.com/article/brief-nrg-energy-entered-3rd-amendment-d/brief-nrg-energy-entered-3rd-amendment-deal-to-extend-maturity-date-of-revolving-loans-revolving-commitments-of-tranche-a-accepting-lender-to-june-30-2021-idUSFWN1SE11Z,2018-05-07T21:04:30Z,"BRIEF-NRG Energy-Entered 3rd Amendment Deal To Extend Maturity Date Of Revolving Loans, Revolving Commitments Of Tranche A Accepting Lender To June 30, 2021",May 7 (Reuters) - NRG Energy Inc:,"* NRG ENERGY-ENTERED THIRD AMENDMENT DEAL TO EXTEND MATURITY DATE OF REVOLVING LOANS, REVOLVING COMMITMENTS OF TRANCHE A ACCEPTING LENDER TO JUNE 30, 2021","* NRG ENERGY INC - PER AMENDMENT REVOLVING COMMITMENTS IN AN AGGREGATE PRINCIPAL AMOUNT OF $120 MILLION WILL MATURE ON JULY 1, 2018 Source text: (bit.ly/2wnNKmk) Further company coverage:"
